Print	Name	Mod_column	Legend	Units	Conv_factor
yes	Exh. Manifold Temp.	Plenum/ExhaustManifold-1/WallTemperature[degC]	Exhaust Manifold	degC	1
yes	Exh. Manifold Temp.	Pipe/TurbineInlet/0.990m/InternalWallTemperature[degC]	Turbine Inlet	degC	1
yes	Injected-Burned Fuel	Cylinder/Cylinder-1/Combustion/InjectedFuel[mg]	Injected	mg	1
yes	Injected-Burned Fuel	Cylinder/Cylinder-1/Combustion/BurnedFuel[mg]	Burned	mg	1
yes	Accum. Inj.-Burned Fuel	Cylinder/Cylinder-1/Combustion/InjectedFuel[mg]	Injected	g	1e-3
yes	Accum. Inj.-Burned Fuel	Cylinder/Cylinder-1/Combustion/BurnedFuel[mg]	Burned	g	1e-3
yes	Injected-Burned Heat	Engine/HeatInjected[kW]	Injected	kW	1
yes	Injected-Burned Heat	Engine/HeatBurned[kW]	Burned	kW	1
yes	Accum. Inj.-Burned Heat	Engine/HeatInjected[kW]	Injected	kJ	1
yes	Accum. Inj.-Burned Heat	Engine/HeatBurned[kW]	Burned	kJ	1
yes	Turbine rack	ECU/Actuator-1[-]		0-100	1
yes	HPEGR valve lift	ECU/Actuator-2[-]		0-1	1
yes	Engine speed	ECU/Actuator-3[-]		rpm	9.549
yes	Injection pressure	ECU/Actuator-4[-]		bar	1E-5
yes	SOE 1	ECU/Actuator-5[-]		cad	57.296
yes	mf 1	ECU/Actuator-6[-]		mg	1e6
yes	SOE 2	ECU/Actuator-7[-]		cad	57.296
yes	mf 2	ECU/Actuator-8[-]		mg	1e6
yes	SOE 3	ECU/Actuator-9[-]		cad	57.296
yes	mf3	ECU/Actuator-10[-]		mg	1e6
yes	Exhaust valve lift	ECU/Actuator-11[-]		0-1	1
yes	LPEGR valve lift	ECU/Actuator-12[-]		0-1	1
yes	WCAC target temp.	ECU/Actuator-13[-]		K	1

