Print	Name	Ref_column	Mod_column	Units	ModToRef_factor	Ymin	Ymax
Yes	Compressor Inlet Temperature	T_E_Comp	Pipe/CompressorInlet/0.990m/Temperature[degC]/Static	degC	1	NA	NA
Yes	Compressor Outlet Temperature	T_S_Comp	Pipe/CompressorOutlet/0.010m/Temperature[degC]/Static	degC	1	NA	NA
Yes	Compressor Inlet Pressure	P_E_Comp	Pipe/CompressorInlet/0.010m/Pressure[bar]/Static	bar	1	0.8	1.2
Yes	Compressor Outlet Pressure	ASMod_pIntMnf_1	Pipe/CompressorOutlet/0.010m/Pressure[bar]/Static	mbar	1000	1000	NA
Yes	EGRLP Cooler Outlet Temperature	T_S_INT_EGRLP	Pipe/LPEGRCoolerOutlet/0.010m/Temperature[degC]/Static	degC	1	NA	NA
Yes	EGRLP Cooler Inlet Temperature	T_E_INT_EGRLP	Pipe/LPEGRCoolerInlet/0.990m/Temperature[degC]/Static	degC	1	NA	NA
Yes	Fuel Mass	MF	Engine/FuelMassCylinder&Cycle[mg]	mg	1.00E+00	NA	NA
Yes	Turbocharger Speed	rpm_turbo	Turbocharger/Turbocharger-1/Speed[rpm]	krpm	1e-3	NA	NA
Yes	Turbocharger Power	-	Turbine/Turbine-1/Power[kW],Compressor/Compressor-1/Power[kW],Turbocharger/Turbocharger-1/MechanicalLosses[kW]	kW	1	0	NA
Yes	Turbocharger Heat Power	-	Turbine/Turbine-1/Heat[kW],Compressor/Compressor-1/Heat[kW],Turbocharger/Turbocharger-1/Heat/ToOil[kW],Turbocharger/Turbocharger-1/Heat/ToAmbient[kW]	kW	1	0	NA
Yes	Turbocharger efficiency	-	Turbine/Turbine-1/Efficiency[-],Compressor/Compressor-1/Efficiency[-]	kW	1	0	NA
No	Apparent Comb Eff	 Parámetro_CALMEC(%)	Engine/HeatBurned[kW]	-	1	80	120
Yes	Effective Efficiency	effective_eff	Engine/EffectiveEfficiency[-]	-	1	0	NA
Yes	Indicated Efficiency	 Rendimiento_indicado_h.p.(%)	Engine/IndicatedEfficiency[-]	%	100	NA	NA
Yes	O2 at EVO	 Oxígeno_Calculado_(%)	Engine/MassFractionAtEVO[-]/O2	%	100	NA	NA
Yes	Oil Pump Power	 Potencia_de_accionamiento_de_la_bomba_de_aceite_[W]	Engine/OilPumpsPower[kW]	W	-1000	NA	NA
Yes	Coolant Pump Power	 Potencia_de_accionamiento_de_la_bomba_del_refrigerante_[kW]	Engine/CoolantPumpsPower_CoolantCircuit-1[kW]	W	-1000	NA	NA
Yes	Bearings Friction	 Potencia_de_fricción_en_los_cojinetes_[W]	Cylinder/Cylinder-1/BearingFrictionPower[kW]	W	-1000	NA	NA
Yes	Valve Train Friction	 Potencia_de_fricción_en_la_distribución_[kW]	Cylinder/Cylinder-1/ValveTrainFrictionPower[kW]	W	-1000	NA	NA
Yes	Rings+Piston Friction	 Potencia_de_fricción_en_el_pistón-anillos_[W]	Cylinder/Cylinder-1/S1FrictionPower[kW]	W	-1000	NA	NA
Yes	Fuel Pump Power	 Potencia_de_accionamiento_de_la_bomba_de_combustible_[W]	Engine/FuelPumpsPower[kW]	W	-1000	NA	NA
Yes	Fuel Power	 Potencia_del_combustible_(kW)	Engine/HeatInjected[kW]	kW	0.25	NA	NA
Yes	Heat to oil	 Potencia_térmica_transimitida_al_aceite_(kW)	Cylinder/Cylinder-1/HeatToOil[kW]	kW	1	NA	NA
Yes	Heat to coolant	 Potencia_térmica_transmitida_al_refrigerante_(kW)	Cylinder/Cylinder-1/HeatToCoolant[kW]	kW	1	NA	NA
No	FMEP	 Presión_media_de_pérdidas_mecánicas(bar)	Engine/FMEP[bar]	bar	-1	NA	NA
Yes	PMEP	 Presión_media_indicada_l.p.(bar)	Engine/PMEP[bar]	bar	1	NA	NA
Yes	Friction + Auxiliaries	 Presión_media_de_pérdidas_mecánicas(bar)	-	bar	1	0	NA
Yes	VGT Position	Vxx_vnt_pwm_1	ECU/Actuator-1[-]	-	1	0	100
Yes	Injected fuel	-	-	mg	1	0	NA
